id,sentence,class
798,"If JANSSEN, its Affiliates or licensees sell any Presentation Form of the Final Product in a country in the Territory (other than the United States, its territories and possessions) in such a manner that the * of the same is not readily identifiable then the * for that country shall be whichever is the higher of (i) the fair market value of such Final Product or (ii) the proportion of the bundled price attributed to such Final Product by JANSSEN, its Affiliates or licensees whenever the Final Product is sold as part of a package of products or services.",1
799,THIRD LINE.,0
800,"All prices shall include all applicable taxes, except sales and use taxes which are separately shown where applicable.",1
801,"A new Article 1.13 shall be added to the Agreement which shall read as follows: 1.13 ""Presentation Form"" shall mean a form of the Product or the Final Product determined by the amount of the single dose (either 25 mg., 37.5 mg. or 50 mg.) of the depot formulation of Risperidone contained therein.",1
802,"DEFINITIONS ""ASE FACILITY"" means the Chung Li Facility and, subject to the terms and conditions of this Agreement, ASE Kaohsiung Facility, the ASE Test Kaohsiung Facility and any other ASE facility in Taiwan.",0
803,"(""Hon Hai"").",0
804,The parties agree to discuss in good faith the appropriate course of action with respect to any such 5 issues.,1
805,3.5 3M shall notify SEPRACOR without undue delay if it becomes aware that the time estimated for a task or tasks set out in the Scaleup Program will be insufficient to perform such task or tasks.,1
806,"&quot;Supply Agreement for Star Scientific Blend&quot; means an agreement between Star and B&amp;W dated January 1, 2000 for the supply of blended cut tobacco to Star by B&amp;W. &quot;Tobacco Materials&quot; means casings, Blended Tobacco, flavorings and other materials normally utilized in the production of cigarettes but excluding Cigarette Materials.",0
807,"Provisional Manufacturing Fee"" and the ""ROW Provisional Manufacturing Fee"" for each Presentation Form of the Product for the upcoming calendar year.",1
808,6.2 Quality System Changes: Any changes to the status of the Medica Quality System shall be reported to Nephros Quality Assurance and Executive Management within 72 hours.,1
809,"The preceding sentence shall not apply to Licensed Product samples provided free of charge to physicians in the course of promoting Licensed Product, nor shall it apply to Licensed Product provided free of charge as part of a contract involving Licensed Product only.",1
810,It is mutually agreed that both Parties shall use their best efforts to execute the terms and conditions of 1 the Project Plan.,1
811,In no event will Supplier deliver or sell any such items so marked to any third party.,1
812,"In such case, New Air would provide the classroom and equipment and pay for the trainer's business class airfare, first class hotel accommodation and reasonable expenses and subsistence for the period where he is away from his normal place of business.",1
813,3 OBJECT OF THE AGREEMENT 2.1.a.,0
814,B. Chattel Mortgage and Assignment for Security Agreement (Sicherungsubereignungs und abtretungsvertrag) ss.,0
815,"All prices are exclusive of installation and related charges, shipping and insurance charges which shall be billed separately.",1
816,Capitalized terms not defined herein shall have the meanings attributed to them in the Asset Purchase Agreement.,1
817,"Subject to the terms of this agreement, Medica shall manufacture, in such quantities as Nephros orders, the Cartridge.",1
818,WHEREAS A.,0
819,"AMENDMENT TO FRAMEWORK AGREEMENT AND SECURITY AGREEMENT between Novoste Corporation 4350 / C International Boulevard Norcross, GA 30093/3027 represented by its Chief Operating Officer David N. Gill hereinafter referred to as ""NOVOSTE"" and BEBIG Isotopentechnik und Umweltdiagnostik GmbH RobertRossleStra(beta)e 10, 13125 Berlin represented by its managing director Dr. Andreas Eckert hereinafter referred to as ""BEBIG"" Preamble 1.",0
820,"CONTRACT MANUFACTURING AND PACKAGING AGREEMENT This Contract Manufacturing and Packaging Agreement (""Agreement"") is entered into effective March 1, 2004, by and between Hansen Beverage Company (""Customer""), a corporation organized and existing under the laws of the State of Delaware with its principle place of business at 1010 Railroad Street, Corona, CA 92882, on the one hand, and NorCal Beverage Co., Inc. (""Contractor""), a corporation organized and existing under the laws of the State of California with its principal place of business at 2286 Stone Boulevard, West Sacramento, California 95691.",0
821,Medica shall at all times manage their inventories of raw materials so as to enable Medica to meet Nephros's demand as specified in the Rolling Forecasts.,1
822,"Unless Customer provides evidence of tax exempt status, Customer shall pay, or upon receipt of invoice from Supplier shall reimburse, Supplier for all such taxes or charges levied or imposed on Customer, or required to be collected by Supplier, resulting from this transaction or any part thereof.",1
823,"was in the public domain at the time of receipt from Customer, or which comes into the public domain without breach of an obligation assumed hereunder; or 8.2.b.",0
824,Contractor will provide pallets to Customer's specifications as part of the fee set forth in Exhibit I.,1
825,Buyer's count will be accepted as final on all shipments not accompanied by a packing slip.,1
826,9 Article II Provisions Applicable To Purchase of Equipment And Materials CONTENTS CLAUSE PAGE CONTENTS OF ORDER 11 DEFINITIONS 11 EQUIPMENT MODIFICATION 12 OPERATING SYSTEM SOFTWARE 12 PRICE ADJUSTMENT 12 RETURN OF EQUIPMENT 12 RETURN OF MATERIALS 1213 RISK OF LOSS 13 SALE 13 SITE PREPARATION AND INSTALLATION 13 STANDARD OF PERFORMANCE AND ACCEPTANCE OF EQUIPMENT 14 TITLE 14 TRAINING AND TECHNICAL SERVICE 15 WARRANTY 15 10 DEFINITIONS The definitions of Article I apply to this Article.,0
827,PRODUCTION SCHEDULING; PALLETS; STORAGE AND HANDLING; SHIPMENT; DOCUMENTS 3.1.,0
828,"The purchase price for the Equipment, Software and Services shall be Retail price + 20% [Supplier's direct retail price listing in effect at the time Customer issues a purchase order above Supplier's cost at the time Customer issues a purchase order.",1
